,actor_list,audiance,director_list,duration,genres,name,open_day,story_header,watch_grade,troll,image,actors
28,김명민|김인권|이혜리|최우식|박성웅|박희순|이경영|이강진|이규현|이기창|이동훈|이상철|이정훈|이정훈|김종윤|김주연|이찬유|김학충|김혜린|김호진|오진호|유병선|윤보현|박건우|박소은|정자영|박하현|강성훈|강태영|정효경|조원희|최윤지|최윤지|최재욱|김성수|김용호|김영철,702096,허종호,105.0,"[4, 16]",물괴,20180912,"“인왕산에 흉악한 짐승이 나타나 사람을 해쳤다 하옵니다
그것을 두고 듣지도 보지도 못한 짐승이라 하여 사물 물(物), 괴이할 괴(怪), 물괴라 부른다 하옵니다.”",15세이상관람가,141,https://movie-phinf.pstatic.net/20180904_28/1536022878766FfKOq_JPEG/movie_image.jpg,"[35, 36, 38, 90, 193]"
29,김창완|배소은|최형|탁대성|하은설|반민정,45162,배현지|김성홍|김유정,97.0,[10],닥터,20130620,모든 것이 아름다웠다. 그 일이 일어나기 전까지.,청소년관람불가,140,https://movie-phinf.pstatic.net/20130603_177/1370234429528fRd1e_JPEG/movie_image.jpg,"[191, 192]"
30,류승룡|심은경|박정민|김민재|정유미|이승용|예수정|이기환|이동근|김재원|백성욱|이재현|이정은|김주연|이지혜|이지훈|이현정|김흥태|나성식|박재규|조웅희|김기천|김기철|김기범|김대근|최영우|최지연|황영수,978127,연상호,101.0,"[2, 7]",염력,20180131,,15세이상관람가,140,https://movie-phinf.pstatic.net/20180129_221/1517191055147VRBCD_JPEG/movie_image.jpg,"[72, 85, 117, 63, 97]"
31,지현우|조한선|박영규|송율규|정재훈|문원주|나해리|탁트인|김정운|강경덕|신승훈|조영민|김윤성|박진영|배선옥|백종민|강승완|정규영|정찬석|김상진|유승우|유용주|박상욱|이세미|정지호|이영식|김태훈|이정임|이미도|조덕현|박상면|이도겸,718810,김상진,111.0,"[4, 7]",주유소 습격사건 2,20100121,,15세이상관람가,138,https://movie-phinf.pstatic.net/20111223_228/13246018575638l5Bv_JPEG/movie_image.jpg,"[255, 140, 257, 256]"
32,이병헌|전도연|김고은|이경영|김태우|이준호|배수빈|문성근|박슬기|장윤성|장은태|강풍|박지훈|고지영|손재영|김수안|김학선|성유빈,415016,박흥식,120.0,"[16, 4]","협녀, 칼의 기억",20150813,,15세이상관람가,137,https://movie-phinf.pstatic.net/20150714_187/143683555351504YpN_JPEG/movie_image.jpg,"[154, 155, 156, 95]"
33,클로이 모레츠|닉 로빈슨|알렉스 로,87122,J 블레이크슨,112.0,"[4, 8, 9]",제 5침공,20160225,인류를 전멸시킬 ‘제5침공’이 시작된다!,12세이상관람가,136,https://movie-phinf.pstatic.net/20160201_241/1454311516911ndTA3_JPEG/movie_image.jpg,"[133, 134, 135]"
34,잭슨 라스본|데브 파텔|노아 링어|니콜라 펠츠,1330691,M. 나이트 샤말란,103.0,"[4, 11, 6, 8]",라스트 에어벤더,20100819,,전체관람가,136,https://movie-phinf.pstatic.net/20111223_62/13246192985897cbfP_JPEG/movie_image.jpg,"[246, 247, 245, 174]"
35,류승룡|배수지|송새벽|김남길|이동휘|안재홍|김태훈|조정숙|황태양|권유진|김은지|김은지|김정곤|박선|박솔지|박윤호|이광호|이상우|이유나|이윤정|이준|이지은|이혜진|진선규|박호산|김소진,300719,이종필,109.0,"[16, 2]",도리화가,20151125,"여자는 판소리를 할 수 없던 시대
소리가 운명인 소녀가 나타나다!",12세이상관람가,136,https://movie-phinf.pstatic.net/20151102_174/1446427045697L5CRl_JPEG/movie_image.jpg,"[72, 73, 16, 109]"
36,김다율|주원|김한나|최진리|안재현|박세영|김성오|윤혜빈|이대수|이상훈|이정연|이주영|이주희|이효재|정라엘|최우진|기안84|김성준|김승주|박상욱|배유람|이일화|이동휘|양흥주,583436,오기환,114.0,"[7, 2]",패션왕,20141106,멋…!이라는 것이 폭발했다!,15세이상관람가,136,https://movie-phinf.pstatic.net/20141027_164/1414388946654HkUpe_JPEG/movie_image.jpg,"[168, 169]"
37,김혜수|이선균|이희준|최무성|김민석|오하늬|여이레|박상규|박주연|신지훈|이연|임용순|차순배,236016,이안규,90.0,"[12, 4]",미옥,20171109,“이번이 정말 마지막이야”,청소년관람불가,136,https://movie-phinf.pstatic.net/20171109_234/1510190908090cpY8y_JPEG/movie_image.jpg,"[89, 6]"
38,힐러리 스웽크|제프리 딘 모건|크리스토퍼 리,65865,안티 조키넨,91.0,"[10, 0]",레지던트,20110602,"인류 구원의 마지막 퍼즐, 그녀가 모든 것을 끝낸다!",청소년관람불가,136,https://movie-phinf.pstatic.net/20120801_107/1343801540234VwCXf_JPEG/movie_image.jpg,[129]
39,이성민|김상호|진경|곽시양|이동희|김재철|이재남|이재우|이태호|이혜민|정유민|정택호|조아라|최정인|황인범|김자영|김수영|김상호|박지후,2512159,조규장,111.0,[10],목격자,20180815,“살려주세요!”,15세이상관람가,135,https://movie-phinf.pstatic.net/20180713_27/1531446268141JEyKE_JPEG/movie_image.jpg,"[48, 51, 52, 53, 51]"
40,황정민|김규백|명인호|소지섭|송중기|이정현|김수안|지웅배|손용범|박상호|박선|박선주|박영준|박정민|박준서|박준서|박혜민|성정훈|오정현|오형근|전창현|정규호|정부용|지재우|이다영|이동준|이상협|이선민|이세형|이윤2|최호영|이재민|이정민|이정은|이정현|이제훈|허승준|이준희|이지은|이지환|이태영|이하은|이하준|이경영|장성범|백승철|김준한|김고은|박성일|설준수|조경현|여윤호|이준혁,6554420,류승완,132.0,"[4, 2]",군함도,20170726,,15세이상관람가,135,https://movie-phinf.pstatic.net/20170726_24/1501035701931zYdMD_JPEG/movie_image.jpg,"[47, 92, 93, 94, 95, 117, 94, 172, 156, 27]"
41,제라드 버틀러|모건 프리먼|아론 에크하트|릭 윤,161481,안톤 후쿠아,119.0,"[4, 10]",백악관 최후의 날,20130605,"실제상황! 백악관이 무너졌다!

",청소년관람불가,135,https://movie-phinf.pstatic.net/20130502_82/1367461602693jX9dl_JPEG/movie_image.jpg,"[198, 199, 200]"
42,손예진|김주혁|주상욱|이주실|천성훈|오정세|김병춘|정세형,1782210,정윤수,119.0,"[18, 2]",아내가 결혼했다,20081023,나를 두고... 또! (아내가 결혼했다) | 자신있어? 평생 한 사람만 사랑할 자신,청소년관람불가,133,https://movie-phinf.pstatic.net/20111223_136/1324584593657In7jl_JPEG/movie_image.jpg,"[300, 83, 185]"
43,맷 데이먼|크리스틴 위그|크리스토프 왈츠|제이슨 서디키스,148814,알렉산더 페인,135.0,"[2, 7]",다운사이징,20180111,"1억이 120억이 되는 세상!
""돈 걱정, 집 걱정은 이제 끝났다!""",15세이상관람가,133,https://movie-phinf.pstatic.net/20171222_257/15139181561647cwWN_JPEG/movie_image.jpg,"[86, 87]"
44,존 레귀자모|헤이든 크리스텐슨|탠디 뉴튼,50088,브래드 앤더슨,91.0,[5],베니싱,20110331,"이유도, 경고도 없이 세상이 어둠 속으로 사라진다!",12세이상관람가,132,https://movie-phinf.pstatic.net/20111223_194/1324634217968i3dUm_JPEG/movie_image.jpg,"[228, 226, 227]"
45,소주연|김민규|김영|김태민|최희진|박진|고나은|진용욱|이한서|이유미|윤지원|이동규|이동희|김정희|서기욱|이준혁|이지원|김지영|신은정|김현우|김형태|오원준|오혜진|전형주|정소연|박지연|박지혜|김진영|김민수|김민성|김수빈|김시은|김유진,212507,최상훈,91.0,"[0, 5]",속닥속닥,20180713,"섬뜩한 소문의 귀신의 집, 그곳의 문이 열린다!",15세이상관람가,131,https://movie-phinf.pstatic.net/20180629_212/1530238766406QjNNY_JPEG/movie_image.jpg,"[60, 61, 27]"
46,박해진|오연서|박기웅|유인영|오종혁|박산다라|문지윤|김현진|김도완|전준영|이석준|백경찬|이정빈|이주영|이현석|박상연|박우준|박재환|박주리|김기호|김동규|이우동,220587,김제영,116.0,"[18, 10]",치즈인더트랩,20180314,,15세이상관람가,131,https://movie-phinf.pstatic.net/20180320_290/1521509010545wpc05_JPEG/movie_image.jpg,"[75, 76, 77, 78]"
47,현빈|장동건|조우진|정만식|이선빈|김의성|조달환|박진우|서지혜|한지은|공정환|김태우|이승일|이동훈|이상준|이상훈|이승주|배정환|이우성|이우정|이유진|이재남|이정민|이정민|김주혁|서지은|이진용|이창훈|이형원|김지수|김태경|김태윤|김태희|김하진|나대한|윤석동|민경옥|박경관|박성빈|임용순|장현|장윤정|정선희|정선희|박종범|정수연|박지아|박지원|정재훈|박태민|김현욱|김현욱|강정진|조민아|최규리|최아영|김다연|김다연|김대현|최재영|한성희|한아름|한지혜|한지혜|편광진|황원일|김성태|김은진|김수지|김승환|김성준|김성규,1588443,김성훈,121.0,"[16, 4]",창궐,20181025,야귀떼가 온 세상을 집어삼켰다!,15세이상관람가,130,https://movie-phinf.pstatic.net/20181001_87/15383614506431bq1D_JPEG/movie_image.jpg,"[33, 34, 79, 83, 257]"
48,강동원|김의성|한효주|김성균|김대명|윤계상|이준혁|정소민|최우식|유재명|차순배|김시은|이강희|이경훈|이상원|박혜영|김재영|방한솔|이승민|이예림|김종호|손영진|신경철|이진구|이하늘|김지희|김지희|김진성|오기환|남은정|박다은|박서연|박성희|박시은|박은영|전한나|박정민|정신영|정연주|박지선|박지현|조영진|김건|최재호|최진호|최혜영|한대훈|황준혁|김소정|김수영|김우진|김유정|김시은|김승호,1327592,노동석,108.0,"[12, 2]",골든슬럼버,20180214,"아무도 믿지 마
그리고 반드시 살아남아",15세이상관람가,129,https://movie-phinf.pstatic.net/20180129_75/1517203407129cCrpT_JPEG/movie_image.jpg,"[56, 79, 57, 80, 81, 27, 38, 117, 66, 28]"
