id,name,audiance,open_day,duration,genres,image,watch_grade,actors
89,암수살인,3777611,20181003,109,"[12, 2]",https://movie-phinf.pstatic.net/20180910_81/1536543365477xFgPy_JPEG/movie_image.jpg,15,"[623, 747, 989, 1446, 114, 1202, 110]"
90,미쓰백,710780,20181011,97,[2],https://movie-phinf.pstatic.net/20181011_124/15392221324972UPeA_JPEG/movie_image.jpg,15,"[229, 924, 966, 712, 1284, 321, 547, 1441, 1284]"
91,크레이지 리치 아시안,147806,20181025,120,"[18, 7]",https://movie-phinf.pstatic.net/20181022_21/1540184572635B2gfj_JPEG/movie_image.jpg,12,"[1464, 1400, 520, 1431]"
92,퍼스트맨,630470,20181018,141,"[9, 2]",https://movie-phinf.pstatic.net/20180921_295/1537492322557T4mGt_JPEG/movie_image.jpg,12,"[454, 880, 529, 401, 730, 327]"
93,베놈,3851409,20181003,107,"[4, 9, 10]",https://movie-phinf.pstatic.net/20180921_296/1537498027382AK7eg_JPEG/movie_image.jpg,15,"[225, 450, 1369]"
94,곰돌이 푸 다시 만나 행복해,486038,20181003,103,[8],https://movie-phinf.pstatic.net/20181004_77/1538637074180yh287_JPEG/movie_image.jpg,0,"[1334, 113, 1290]"
95,안시성,5413370,20180919,135,"[16, 4]",https://movie-phinf.pstatic.net/20180919_108/1537322093089VIq7d_JPEG/movie_image.jpg,12,"[1318, 1093, 176, 1362, 1325, 1352, 139, 220, 102, 86, 190, 793, 248, 769, 1318, 1299, 1394]"
96,배반의 장미,29890,20181018,98,[7],https://movie-phinf.pstatic.net/20180918_182/1537236574109aILMC_JPEG/movie_image.jpg,15,"[506, 846, 916, 1388, 6]"
97,펭귄 하이웨이,25631,20181018,117,"[20, 8, 6]",https://movie-phinf.pstatic.net/20180917_201/1537162889593vJK2d_JPEG/movie_image.jpg,0,"[1164, 1098]"
98,액슬,12152,20181018,98,"[4, 8]",https://movie-phinf.pstatic.net/20180918_182/1537250041990Vyynn_JPEG/movie_image.jpg,12,"[614, 1311, 568]"
99,다이노 어드벤처2: 육해공 공룡 대백과,34822,20181009,71,"[20, 4, 11]",https://movie-phinf.pstatic.net/20181026_123/1540522245216RQh4a_JPEG/movie_image.jpg,0,[]
100,셜록 놈즈,83846,20181003,86,"[20, 7]",https://movie-phinf.pstatic.net/20180907_192/1536282563846MmRwL_JPEG/movie_image.jpg,0,"[1088, 182, 1147, 1327, 969]"
101,협상,1953273,20180919,114,[12],https://movie-phinf.pstatic.net/20180828_55/15354321217227X7a3_JPEG/movie_image.jpg,15,"[754, 99, 543, 712, 1044, 57, 793, 1441]"
102,에브리데이,21620,20181011,97,[18],https://movie-phinf.pstatic.net/20180911_215/1536657839054eIYwl_JPEG/movie_image.jpg,12,"[911, 1237, 5, 1450]"
103,명당,2066465,20180919,126,[16],https://movie-phinf.pstatic.net/20180920_268/1537425274130wtXzB_JPEG/movie_image.jpg,12,"[1153, 950, 770, 573, 435, 692, 677, 769, 1387, 739, 970, 653, 927]"
104,원더풀 고스트,439910,20180926,96,"[7, 2, 12]",https://movie-phinf.pstatic.net/20181005_242/1538714564568GYBzR_JPEG/movie_image.jpg,12,"[264, 252, 1418, 739]"
105,더 넌,1007366,20180919,96,[0],https://movie-phinf.pstatic.net/20180911_134/1536645540004OFOoL_JPEG/movie_image.jpg,15,"[1356, 502, 207]"
106,서치,2944333,20180829,102,[2],https://movie-phinf.pstatic.net/20190404_111/15543607488429eReU_PNG/movie_image.jpg,12,"[720, 135]"
107,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,151054,20180920,103,[20],https://movie-phinf.pstatic.net/20180907_30/1536297701973my69v_JPEG/movie_image.jpg,0,"[112, 371, 586, 344]"
108,루이스,89501,20180920,85,[20],https://movie-phinf.pstatic.net/20190425_182/1556176874130rohRk_JPEG/movie_image.jpg,0,[]
109,에그엔젤 코코밍: 두근두근 핼러윈 파티,42980,20180922,68,[20],https://movie-phinf.pstatic.net/20180914_269/1536888391830htBUO_JPEG/movie_image.jpg,0,[]
110,극장판 뽀잉: 슈퍼 변신의 비밀,35688,20180920,72,[20],https://movie-phinf.pstatic.net/20180822_153/1534899780070V7mOn_JPEG/movie_image.jpg,0,"[263, 928, 345, 491]"
111,물괴,702096,20180912,105,"[4, 16]",https://movie-phinf.pstatic.net/20180904_28/1536022878766FfKOq_JPEG/movie_image.jpg,15,"[302, 506, 1260, 1362, 244, 1349, 1459]"
112,너의 결혼식,2812226,20180822,110,[18],https://movie-phinf.pstatic.net/20180730_82/15329286640280Wu1t_JPEG/movie_image.jpg,12,"[708, 407, 514, 1427]"
113,더 프레데터,169814,20180912,107,"[9, 4, 10]",https://movie-phinf.pstatic.net/20180831_150/1535703792387FDnCB_JPEG/movie_image.jpg,19,"[60, 41, 1061, 1144, 256]"
114,업그레이드,178153,20180906,100,[4],https://movie-phinf.pstatic.net/20180831_90/1535692010916AVOpv_JPEG/movie_image.jpg,15,"[1422, 795]"
115,상류사회,760945,20180829,119,[2],https://movie-phinf.pstatic.net/20180730_55/1532927800050iSgEs_JPEG/movie_image.jpg,19,"[176, 1170, 894, 370, 784, 11, 1255, 1235, 799, 1015, 1427, 497, 727]"
116,맘마미아!2,2280120,20180808,113,[3],https://movie-phinf.pstatic.net/20180808_39/1533692610471D6ej4_JPEG/movie_image.jpg,12,"[7, 464, 1102, 157, 901, 946, 1287, 1164, 1411, 743]"
117,신과함께-인과 연,12264813,20180801,141,"[6, 2]",https://movie-phinf.pstatic.net/20180703_65/15305852198817R6a1_JPEG/movie_image.jpg,12,"[847, 747, 560, 264, 497, 1105, 705, 1016, 1016, 1134, 1299, 497]"
118,공작,4968325,20180808,137,[2],https://movie-phinf.pstatic.net/20180730_299/1532914028702Mgwti_JPEG/movie_image.jpg,12,"[373, 1159, 1307, 747, 1288, 547, 739, 1202, 86]"
119,목격자,2512159,20180815,111,[10],https://movie-phinf.pstatic.net/20171102_198/1509590346814JRzwy_JPEG/movie_image.jpg,15,"[1159, 543, 518, 14, 543]"
120,어드리프트:우리가 함께한 바다,41977,20180906,96,"[18, 2]",https://movie-phinf.pstatic.net/20180903_82/1535950798822Wn1rG_JPEG/movie_image.jpg,12,"[660, 528]"
121,나를 차버린 스파이,258016,20180822,117,"[4, 7]",https://movie-phinf.pstatic.net/20180809_300/1533777494802DpYwf_JPEG/movie_image.jpg,15,"[683, 197]"
122,미션 임파서블: 폴아웃,6567099,20180725,147,"[4, 10]",https://movie-phinf.pstatic.net/20180523_234/1527043720337JCQAP_JPEG/movie_image.jpg,15,"[837, 824, 877, 1210, 1453, 772, 312]"
123,그래비티,3262924,20131017,90,"[9, 2]",https://movie-phinf.pstatic.net/20181102_292/1541143147589ofRlf_JPEG/movie_image.jpg,12,"[1188, 42]"
124,몬스터 호텔 3,1023630,20180808,97,"[20, 7, 11, 6]",https://movie-phinf.pstatic.net/20180725_54/1532482387857R71bw_JPEG/movie_image.jpg,0,"[1211, 874, 810, 289, 51]"
125,메가로돈,515536,20180815,113,"[4, 0, 9]",https://movie-phinf.pstatic.net/20180710_245/1531211626893q4iLG_JPEG/movie_image.jpg,12,"[140, 1043]"
126,마일22,51350,20180823,94,"[4, 8, 10]",https://movie-phinf.pstatic.net/20180817_11/1534489372871R699y_JPEG/movie_image.jpg,15,"[1462, 1162, 1324, 537]"
127,극장판 도라에몽: 진구의 보물섬,138640,20180815,107,"[20, 9, 8]",https://movie-phinf.pstatic.net/20180801_60/1533089003342RpL4m_JPEG/movie_image.jpg,0,"[245, 758, 73, 368, 635, 1280, 350, 406, 123, 13, 161, 80, 183, 1273, 637, 389]"
128,명탐정 코난 : 제로의 집행인,377257,20180808,110,[20],https://movie-phinf.pstatic.net/20181213_228/1544681170682s8SD1_JPEG/movie_image.jpg,12,"[129, 862, 1278]"
129,극장판 헬로카봇 : 백악기 시대,854230,20180801,84,[20],https://movie-phinf.pstatic.net/20180712_119/1531377839011rdxSS_JPEG/movie_image.jpg,0,"[1280, 972, 1060, 586, 928, 889, 344, 333, 793, 1280, 333]"
130,인크레더블 2,2998015,20180718,125,"[20, 4, 8, 7, 11]",https://movie-phinf.pstatic.net/20180711_9/1531285562987n5VUG_JPEG/movie_image.jpg,0,"[980, 1009, 960]"
131,신비아파트: 금빛 도깨비와 비밀의 동굴,667879,20180725,67,"[20, 6, 8]",https://movie-phinf.pstatic.net/20180711_300/1531271231936amqff_JPEG/movie_image.jpg,0,"[73, 319, 575, 344, 112, 1238, 248, 948, 250]"
132,어느 가족,123887,20180726,120,[2],https://movie-phinf.pstatic.net/20180702_47/1530497117620iDJX8_JPEG/movie_image.jpg,15,"[235, 1053, 995, 450, 706]"
133,인랑,891308,20180725,138,"[9, 4]",https://movie-phinf.pstatic.net/20180530_139/1527644339969WkMqB_JPEG/movie_image.jpg,15,"[664, 422, 266, 1202, 1163, 40, 172, 238, 1427, 1006, 1183]"
134,앤트맨과 와스프,5444801,20180704,118,"[4, 8, 9]",https://movie-phinf.pstatic.net/20180530_170/1527645793223uhWgz_JPEG/movie_image.jpg,12,"[1253, 1319, 1104, 606, 1062, 519, 1]"
135,마녀,3188405,20180627,125,"[5, 4]",https://movie-phinf.pstatic.net/20180710_211/1531198746645nsdKN_JPEG/movie_image.jpg,15,"[953, 205, 244, 501, 433, 511, 617]"
136,스카이스크래퍼,999978,20180711,102,"[4, 10]",https://movie-phinf.pstatic.net/20180626_178/1530002275230doFpi_JPEG/movie_image.jpg,12,"[1143, 327, 1048]"
137,독전: 익스텐디드 컷,136885,20180718,131,"[12, 4]",https://movie-phinf.pstatic.net/20180524_197/1527129752646aGAH7_JPEG/movie_image.jpg,15,"[1307, 672, 1292, 246, 416, 1270]"
